active,addressDomisili,createdBy,createdDate,flagAddressId,kabkot,kabkotDesc,kecamatan,kecamatanDesc,kelurahan,kelurahanDesc,modifiedBy,modifiedDate,orderNo,provinsi,provinsiDesc,surveyDate,rtrw,surveyTime,zipcode
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
0,USA,USA,2021-06-23T11:34:08.666Z,0,USA,USA,USA,USA,USA,USA,USA,2021-06-23T11:34:08.666Z,,US,USA,2021-06-23T11:34:08.666Z,USA,USA,USA
