active,createdBy,createdDate,dp,installmentAmt,jenisAsuransi,kotaDomisili,modifiedBy,modifiedDate,object,objectBrand,objectBrandDesc,objectDesc,objectModel,objectModelDesc,objectType,objectTypeDesc,objectYear,objectPrice,orderNo,promo,rate,tenor,tipeJaminan
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
0,USA,2021-06-14T09:58:05.666Z,0,0,USA,USA,USA,2021-06-14T09:58:05.666Z,USA,USA,USA,USA,USA,USA,USA,USA,USA,0,,USA,0,0,USA
